Trial,uid,Row,Range,gid,Yield
HARS20_chips,1,1,1,W17037-24,398.05975
HARS20_chips,2,2,1,W17066-22,516.40985
HARS20_chips,3,3,1,W16091-5,504.83015
HARS20_chips,4,4,1,W17037-26,363.56265
HARS20_chips,5,5,1,W17039-49,468.31235
HARS20_chips,6,6,1,W17039-8,416.2521
HARS20_chips,7,7,1,W16NYS2-4,NA
HARS20_chips,8,8,1,W17044-2,391.58625
HARS20_chips,9,9,1,W17039-18,346.38065
HARS20_chips,10,10,1,W17044-15,476.3407
HARS20_chips,11,11,1,W17056-8,436.68295
HARS20_chips,12,12,1,W17039-68,443.0536
HARS20_chips,13,13,1,W17038-4,540.8821
HARS20_chips,14,14,1,W17067-27,555.31135
HARS20_chips,15,1,2,W17062-11,345.64255
HARS20_chips,16,2,2,W17AF6677-8,464.1076
HARS20_chips,17,3,2,W17044-25,418.25465
HARS20_chips,18,4,2,W17044-9,712.7505
HARS20_chips,19,5,2,W17055-4,404.2973
HARS20_chips,20,6,2,W17067-7,614.2202
HARS20_chips,21,7,2,W17037-43,415.5624
HARS20_chips,22,8,2,W17047-5,350.5128
HARS20_chips,23,9,2,W17060-24,385.22165
HARS20_chips,24,10,2,W17049-10,559.76415
HARS20_chips,25,11,2,W17060-27,429.6226
HARS20_chips,26,12,2,W17AF6685-2,639.8238
HARS20_chips,27,13,2,Hodag,541.66255
HARS20_chips,28,14,2,W16219-8,555.0512
HARS20_chips,29,1,3,W17064-7,328.031
HARS20_chips,30,2,3,W17064-25,384.62875
HARS20_chips,31,3,3,Lamoka,456.95045
HARS20_chips,32,4,3,W17037-49,388.41605
HARS20_chips,33,5,3,W17052-15,465.28735
HARS20_chips,34,6,3,W17066-1,509.76695
HARS20_chips,35,7,3,W17037-11,317.2983
HARS20_chips,36,8,3,W17037-41,571.19865
HARS20_chips,37,9,3,W17039-17,520.6872
HARS20_chips,38,10,3,W17039-2,461.9175
HARS20_chips,39,11,3,W17062-22,469.1412
HARS20_chips,40,12,3,W17043-37,581.62885
HARS20_chips,41,13,3,W17037-45,400.2559
HARS20_chips,42,14,3,W17037-8,466.96925
HARS20_chips,43,1,4,W17039-15,404.5393
HARS20_chips,44,2,4,W17065-21,574.79235
HARS20_chips,45,3,4,W17037-40,566.764
HARS20_chips,46,4,4,W17039-1,470.448
HARS20_chips,47,5,4,W17050-7,412.9488
HARS20_chips,48,6,4,W17053-17,515.87745
HARS20_chips,49,7,4,W17039-11,430.47565
HARS20_chips,50,8,4,W17039-65,405.4468
HARS20_chips,51,9,4,W17050-6,414.3766
HARS20_chips,52,10,4,W17037-69,388.1801
HARS20_chips,53,11,4,W17037-17,423.76015
HARS20_chips,54,12,4,W17037-16,517.34155
HARS20_chips,55,13,4,W17039-44,625.5579
HARS20_chips,56,14,4,W17040-3,411.8598
HARS20_chips,57,1,5,W17039-30,419.6643
HARS20_chips,58,2,5,W17044-24,565.7113
HARS20_chips,59,3,5,W17044-6,627.62095
HARS20_chips,60,4,5,W16105-1,431.7764
HARS20_chips,61,5,5,W17037-73,383.0376
HARS20_chips,62,6,5,W17037-5,589.69955
HARS20_chips,63,7,5,W17AF6678-7,472.4566
HARS20_chips,64,8,5,Atlantic,517.7469
HARS20_chips,65,9,5,W17042-7,360.6163
HARS20_chips,66,10,5,W17039-4,594.34595
HARS20_chips,67,11,5,W17037-13,494.1398
HARS20_chips,68,12,5,W17066-11,565.2636
HARS20_chips,69,13,5,W17067-1,651.1615
HARS20_chips,70,14,5,W17037-15,370.07245
HARS20_chips,71,1,6,W17039-7,576.97035
HARS20_chips,72,2,6,W16130-15,487.30935
HARS20_chips,73,3,6,W17043-9,713.7185
HARS20_chips,74,4,6,W17037-34,479.2447
HARS20_chips,75,5,6,W17057-44,429.2959
HARS20_chips,76,6,6,W17064-19,462.20185
HARS20_chips,77,7,6,W17047-15,556.1039
HARS20_chips,78,8,6,W17039-5,545.25625
HARS20_chips,79,9,6,W17037-68,435.72705
HARS20_chips,80,10,6,W17AF6684-10,368.77775
HARS20_chips,81,11,6,W17066-34,565.9412
HARS20_chips,82,12,6,W17044-12,487.5453
HARS20_chips,83,13,6,W17AF6654-13,416.71795
HARS20_chips,84,14,6,W17037-10,499.80865
HARS20_chips,85,1,7,W17067-13,520.58435
HARS20_chips,86,2,7,W17037-20,235.02435
HARS20_chips,87,3,7,W17045-4,493.55295
HARS20_chips,88,4,7,Snowden,495.50105
HARS20_chips,89,5,7,W17037-12,529.29635
HARS20_chips,90,6,7,W17037-22,454.36105
HARS20_chips,91,7,7,W16130-70,424.1171
HARS20_chips,92,8,7,FILL,NA
HARS20_chips,93,9,7,W17057-5,461.17335
HARS20_chips,94,10,7,W16133-35,550.308
HARS20_chips,95,11,7,W17037-6,373.6117
HARS20_chips,96,12,7,W17037-35,557.1203
HARS20_chips,97,13,7,W17051-9,497.1164
HARS20_chips,98,14,7,W17039-69,402.27055
HARS20_chips,99,1,8,W17AF6654-15,329.73105
HARS20_chips,100,2,8,W17060-9,626.1871
HARS20_chips,101,3,8,W17047-11,438.5766
HARS20_chips,102,4,8,W17039-27,322.1746
HARS20_chips,103,5,8,W17037-18,648.0881
HARS20_chips,104,6,8,W17039-13,490.86675
HARS20_chips,105,7,8,W17065-8,571.52535
HARS20_chips,106,8,8,W17039-20,379.77665
HARS20_chips,107,9,8,W17037-89,371.6152
HARS20_chips,108,10,8,W17043-1,377.9314
HARS20_chips,109,11,8,W17039-19,555.2206
HARS20_chips,110,12,8,W17062-1,496.2089
HARS20_chips,111,13,8,W17037-62,426.3919
